	16_S3	17_S4	18_S1	19_S2	21_S3	23_S3	24_S2	27_S1	28_S4	30_S3	34_S1	35_S4	36_S1	38_S2	40_S2	42_S3	44_S3	45_S1	46_S4	47_S4	51_S2	54_S4	5_S1	8_S2
crr	0.00	0.00	0.00	0.00	0.00	176.00	209.00	108.00	66.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	255.00	0.00	0.00	0.00
crtM	0.00	0.00	0.00	0.00	0.00	0.00	36.00	88.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
crtN	0.00	0.00	0.00	0.00	0.00	0.00	26.00	28.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ctpA	0.00	0.00	0.00	0.00	0.00	0.00	79.00	33.00	0.00	0.00	0.00	0.00	43.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	38.00	0.00	0.00	0.00
ctsR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	146.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cysE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cysK	0.00	0.00	0.00	0.00	0.00	157.00	172.00	37.00	134.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	124.00	0.00	0.00	0.00
cysM	0.00	0.00	0.00	0.00	0.00	0.00	26.00	46.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cysS	0.00	0.00	0.00	25.00	0.00	31.00	92.00	40.00	33.00	0.00	0.00	0.00	75.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00
dapA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	51.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dapB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dapD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ddh	0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ddl	0.00	0.00	0.00	0.00	0.00	55.00	28.00	30.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	89.00	0.00	0.00	0.00
def	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
deoB	0.00	0.00	32.00	0.00	0.00	20.00	0.00	43.00	97.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.00	102.00	0.00	0.00	0.00
deoC	0.00	0.00	294.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.00	37.00	0.00
deoD	0.00	0.00	0.00	0.00	0.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dgkA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	82.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	42.00	0.00	0.00	0.00
dltA	0.00	0.00	0.00	0.00	0.00	240.00	82.00	78.00	85.00	0.00	0.00	0.00	144.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	123.00	0.00	27.00	0.00
dltB	0.00	0.00	0.00	0.00	0.00	125.00	34.00	146.00	72.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	120.00	0.00	114.00	0.00
dltC	0.00	0.00	0.00	0.00	0.00	78.00	51.00	22.00	0.00	0.00	0.00	0.00	104.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	81.00	0.00	0.00	0.00
