	16_S3	17_S4	18_S1	19_S2	21_S3	23_S3	24_S2	27_S1	28_S4	30_S3	34_S1	35_S4	36_S1	38_S2	40_S2	42_S3	44_S3	45_S1	46_S4	47_S4	51_S2	54_S4	5_S1	8_S2
rplK	0.00	0.00	0.00	0.00	0.00	822.00	1300.00	481.00	214.00	0.00	0.00	0.00	846.00	196.00	0.00	0.00	0.00	0.00	0.00	354.00	859.00	0.00	0.00	0.00
rplL	0.00	0.00	0.00	0.00	0.00	47.00	193.00	0.00	160.00	0.00	0.00	0.00	410.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00
rplM	0.00	0.00	92.00	0.00	0.00	765.00	305.00	699.00	395.00	0.00	0.00	0.00	352.00	0.00	0.00	14.00	0.00	0.00	0.00	0.00	537.00	0.00	0.00	0.00
rplN	0.00	0.00	480.00	0.00	0.00	672.00	1012.00	449.00	161.00	0.00	0.00	0.00	301.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	409.00	0.00	55.00	0.00
rplO	0.00	0.00	53.00	0.00	0.00	550.00	183.00	76.00	845.00	0.00	0.00	0.00	473.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	320.00	0.00	628.00	0.00
rplP	0.00	0.00	192.00	0.00	0.00	714.00	164.00	479.00	105.00	0.00	0.00	0.00	569.00	0.00	0.00	5.00	0.00	0.00	0.00	247.00	663.00	0.00	626.00	0.00
rplQ	0.00	0.00	67.00	0.00	0.00	519.00	97.00	50.00	21.00	0.00	0.00	0.00	211.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	182.00	0.00	67.00	0.00
rplR	0.00	0.00	0.00	248.00	0.00	923.00	1286.00	444.00	360.00	0.00	0.00	0.00	652.00	102.00	0.00	0.00	0.00	0.00	0.00	36.00	469.00	0.00	0.00	0.00
rplS	0.00	0.00	148.00	0.00	0.00	851.00	1037.00	40.00	666.00	0.00	0.00	0.00	791.00	0.00	0.00	19.00	0.00	0.00	0.00	100.00	1243.00	0.00	170.00	0.00
rplV	0.00	0.00	147.00	0.00	0.00	243.00	64.00	0.00	57.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	51.00	49.00	0.00	0.00	0.00
rplW	50.00	0.00	162.00	0.00	0.00	746.00	1026.00	572.00	1054.00	0.00	0.00	0.00	597.00	0.00	0.00	0.00	0.00	0.00	0.00	393.00	1628.00	0.00	183.00	0.00
rplX	0.00	0.00	759.00	0.00	0.00	1088.00	521.00	1152.00	499.00	0.00	0.00	0.00	42.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	113.00	0.00	0.00	0.00
rpmB	0.00	0.00	0.00	0.00	0.00	139.00	133.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	230.00	0.00	0.00	0.00
rpmC	0.00	0.00	99.00	0.00	0.00	775.00	172.00	342.00	466.00	0.00	0.00	0.00	518.00	0.00	0.00	0.00	0.00	0.00	0.00	184.00	314.00	0.00	365.00	0.00
rpmD	0.00	0.00	0.00	0.00	0.00	416.00	303.00	172.00	0.00	0.00	0.00	0.00	24.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	486.00	0.00	144.00	0.00
rpmE2	0.00	0.00	0.00	0.00	0.00	291.00	61.00	0.00	0.00	0.00	0.00	0.00	228.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	177.00	0.00	0.00	0.00
rpmG	0.00	0.00	0.00	0.00	0.00	112.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	90.00	0.00	0.00	0.00
rpmH	0.00	0.00	0.00	0.00	0.00	0.00	4.00	173.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00
rpmJ	0.00	0.00	0.00	0.00	0.00	1127.00	95.00	971.00	14.00	0.00	0.00	0.00	729.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	101.00	0.00	0.00	0.00
rpoA	0.00	0.00	336.00	0.00	0.00	281.00	526.00	140.00	162.00	0.00	0.00	7.00	329.00	75.00	11.00	0.00	0.00	0.00	0.00	0.00	313.00	0.00	0.00	0.00
rpoB	38.00	0.00	9.00	0.00	0.00	349.00	268.00	180.00	117.00	0.00	0.00	1.00	60.00	14.00	0.00	0.00	0.00	0.00	0.00	38.00	522.00	0.00	48.00	0.00
rpoC	0.00	0.00	0.00	0.00	0.00	0.00	85.00	0.00	0.00	0.00	0.00	0.00	21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00	0.00	0.00	0.00
rpoD	0.00	0.00	0.00	69.00	0.00	54.00	277.00	35.00	156.00	0.00	0.00	0.00	127.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	213.00	0.00	0.00	0.00
rpoE	0.00	0.00	0.00	0.00	0.00	97.00	37.00	65.00	48.00	0.00	0.00	0.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	105.00	0.00	0.00	0.00
rpoZ	0.00	0.00	0.00	0.00	0.00	0.00	94.00	0.00	0.00	0.00	0.00	0.00	44.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.00	0.00	0.00	0.00
rpsA	0.00	0.00	65.00	30.00	0.00	14.00	139.00	84.00	77.00	0.00	0.00	0.00	0.00	21.00	2.00	0.00	0.00	0.00	0.00	0.00	194.00	0.00	91.00	0.00
rpsB	0.00	0.00	0.00	0.00	0.00	1176.00	1693.00	240.00	780.00	0.00	0.00	0.00	558.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1245.00	0.00	0.00	0.00
rpsC	0.00	0.00	187.00	64.00	0.00	532.00	249.00	253.00	412.00	0.00	0.00	0.00	391.00	0.00	0.00	1.00	0.00	0.00	0.00	52.00	241.00	0.00	0.00	0.00
rpsE	0.00	0.00	0.00	0.00	0.00	637.00	245.00	310.00	101.00	0.00	0.00	0.00	718.00	0.00	0.00	0.00	0.00	0.00	0.00	313.00	414.00	0.00	144.00	0.00
rpsH	0.00	0.00	63.00	0.00	0.00	1130.00	191.00	457.00	465.00	0.00	0.00	0.00	43.00	133.00	0.00	0.00	0.00	0.00	0.00	0.00	501.00	0.00	185.00	0.00
rpsI	0.00	0.00	65.00	0.00	0.00	691.00	921.00	174.00	601.00	0.00	0.00	0.00	663.00	0.00	0.00	0.00	0.00	0.00	0.00	142.00	770.00	0.00	88.00	0.00
rpsJ	0.00	0.00	0.00	0.00	0.00	1240.00	445.00	870.00	130.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	571.00	0.00	150.00	0.00
rpsK	0.00	0.00	165.00	0.00	0.00	685.00	505.00	339.00	0.00	0.00	0.00	0.00	236.00	0.00	0.00	0.00	0.00	0.00	0.00	168.00	769.00	0.00	42.00	0.00
rpsM	0.00	0.00	133.00	0.00	0.00	478.00	29.00	541.00	372.00	0.00	0.00	0.00	245.00	0.00	0.00	0.00	0.00	0.00	0.00	159.00	348.00	0.00	246.00	0.00
rpsN	0.00	0.00	67.00	0.00	0.00	3389.00	253.00	1393.00	498.00	0.00	0.00	0.00	537.00	204.00	0.00	0.00	0.00	0.00	0.00	0.00	651.00	0.00	0.00	0.00
rpsO	0.00	0.00	0.00	0.00	0.00	84.00	229.00	0.00	415.00	0.00	0.00	0.00	349.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	323.00	0.00	0.00	0.00
rpsP	0.00	0.00	0.00	0.00	0.00	172.00	0.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rpsQ	0.00	0.00	0.00	174.00	0.00	320.00	151.00	244.00	206.00	0.00	0.00	0.00	185.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	485.00	0.00	0.00	0.00
rpsS	0.00	0.00	0.00	0.00	0.00	424.00	373.00	1210.00	238.00	0.00	0.00	0.00	181.00	195.00	0.00	0.00	0.00	0.00	0.00	488.00	497.00	0.00	0.00	0.00
rpsT	0.00	0.00	0.00	0.00	0.00	238.00	227.00	144.00	176.00	0.00	0.00	0.00	137.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	214.00	0.00	0.00	0.00
rpsU	0.00	0.00	0.00	0.00	0.00	45.00	274.00	148.00	362.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	298.00	0.00	0.00	0.00
rrfA	477.00	0.00	544.00	0.00	5.00	3303.00	2348.00	838.00	1399.00	0.00	0.00	0.00	1895.00	0.00	0.00	19.00	0.00	0.00	0.00	300.00	1809.00	145.00	0.00	0.00
rrfB	477.00	0.00	544.00	0.00	5.00	3303.00	2348.00	838.00	1399.00	0.00	0.00	0.00	1895.00	0.00	0.00	19.00	0.00	0.00	0.00	300.00	1809.00	145.00	0.00	0.00
rrfE	477.00	0.00	544.00	0.00	5.00	3616.00	2261.00	838.00	1399.00	0.00	0.00	0.00	1652.00	0.00	0.00	19.00	0.00	0.00	0.00	507.00	1809.00	505.00	0.00	0.00
rrfG	477.00	0.00	544.00	0.00	5.00	3339.00	2336.00	838.00	1399.00	0.00	0.00	0.00	1652.00	0.00	0.00	11.00	0.00	0.00	0.00	300.00	1656.00	145.00	0.00	0.00
rrlA	40506.00	68.00	235827.00	76547.00	47.00	70509.00	130176.00	30652.00	62736.00	37.00	34.00	34.00	51171.00	7951.00	37.00	38.00	34.00	34.00	34.00	9656.00	85665.00	2982.00	82421.00	34.00
rrlB	41017.00	69.00	238773.00	77221.00	48.00	71445.00	134205.00	31474.00	63875.00	38.00	34.00	34.00	52522.00	8232.00	37.00	39.00	34.00	34.00	34.00	9887.00	87399.00	3055.00	83776.00	34.00
rrlE	37416.00	65.00	225048.00	73925.00	46.00	69274.00	122025.00	30191.00	61754.00	31.00	33.00	32.00	47390.00	7537.00	34.00	37.00	33.00	34.00	34.00	8923.00	73226.00	3014.00	79262.00	34.00
rrsA	52957.00	64.00	241006.00	91734.00	64.00	88988.00	196258.00	35173.00	95516.00	76.00	105.00	93.00	88077.00	12044.00	76.00	97.00	26.00	84.00	53.00	17820.00	136616.00	3791.00	83553.00	57.00
rrsB	52957.00	64.00	241006.00	91734.00	64.00	88988.00	196144.00	35173.00	95508.00	76.00	105.00	93.00	87967.00	12044.00	76.00	97.00	26.00	84.00	53.00	17820.00	136613.00	3791.00	83553.00	57.00
rrsE	52957.00	64.00	241006.00	91734.00	64.00	89014.00	196364.00	35149.00	95479.00	77.00	105.00	93.00	88015.00	12026.00	76.00	97.00	26.00	84.00	53.00	17817.00	136652.00	3791.00	83592.00	57.00
rsgA	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	51.00	0.00	0.00	0.00	42.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	62.00	0.00	0.00	0.00
sarT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sarU	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sbi	0.00	0.00	0.00	92.00	0.00	1341.00	544.00	407.00	484.00	0.00	0.00	1.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	572.00	0.00	48.00	0.00
sbnC	0.00	0.00	89.00	0.00	0.00	14.00	16.00	0.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.00	0.00	0.00	0.00
scdA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.00	0.00	0.00	0.00
scpA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	90.00	0.00	0.00	0.00
scpB	0.00	0.00	223.00	0.00	0.00	77.00	171.00	207.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	200.00	0.00	35.00	0.00
sdaAA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	74.00	0.00
sdaAB	0.00	0.00	0.00	0.00	0.00	101.00	0.00	49.00	31.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
secE	0.00	0.00	14.00	0.00	0.00	189.00	0.00	0.00	151.00	0.00	0.00	0.00	57.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	219.00	0.00	0.00	0.00
secY	0.00	0.00	0.00	0.00	0.00	23.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
serS	0.00	0.00	0.00	0.00	0.00	0.00	15.00	22.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00	0.00	0.00	0.00
set7	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sirA	0.00	0.00	23.00	0.00	0.00	57.00	108.00	0.00	37.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00
sirB	0.00	0.00	0.00	0.00	0.00	17.00	57.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	59.00	0.00	0.00	0.00
sirC	0.00	0.00	0.00	0.00	0.00	35.00	0.00	0.00	0.00	0.00	0.00	0.00	79.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.00	0.00	0.00	0.00
smc	0.00	0.00	0.00	0.00	0.00	11.00	27.00	35.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	0.00	0.00	0.00
speG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
spsA	0.00	0.00	0.00	0.00	0.00	132.00	165.00	0.00	131.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	178.00	0.00	0.00	0.00
spsB	0.00	0.00	0.00	0.00	0.00	181.00	35.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	408.00	0.00	0.00	0.00
spxA	0.00	0.00	0.00	95.00	0.00	223.00	798.00	0.00	664.00	0.00	0.00	0.00	412.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	292.00	0.00	0.00	0.00
srrA	0.00	0.00	34.00	0.00	0.00	65.00	69.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.00	0.00	0.00	0.00
srrB	0.00	0.00	25.00	0.00	0.00	13.00	44.00	54.00	59.00	0.00	0.00	0.00	44.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	69.00	0.00	31.00	0.00
srtA	0.00	0.00	44.00	0.00	0.00	0.00	70.00	0.00	66.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	81.00	0.00	0.00	0.00
ssaA	0.00	0.00	0.00	0.00	0.00	232.00	196.00	114.00	54.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	259.00	0.00	0.00	0.00
sucA	0.00	0.00	13.00	0.00	0.00	16.00	39.00	29.00	16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00
sucB	0.00	0.00	0.00	135.00	0.00	0.00	0.00	0.00	90.00	0.00	0.00	0.00	0.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00	60.00	0.00	38.00	0.00
sucC	0.00	0.00	84.00	39.00	0.00	39.00	66.00	4.00	21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74.00	0.00	0.00	0.00
sucD	0.00	0.00	63.00	0.00	0.00	77.00	26.00	125.00	0.00	0.00	0.00	0.00	21.00	67.00	0.00	0.00	0.00	0.00	0.00	0.00	130.00	0.00	0.00	0.00
sun	0.00	0.00	34.00	0.00	0.00	55.00	8.00	0.00	72.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34.00	0.00	40.00	0.00
tcaA	0.00	0.00	0.00	40.00	0.00	96.00	183.00	135.00	41.00	0.00	0.00	0.00	69.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	70.00	0.00	0.00	0.00
tcaB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.00	0.00	0.00	0.00
tcaR	0.00	0.00	0.00	0.00	0.00	57.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	105.00	0.00	0.00	0.00
tdk	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	0.00
tetR	0.00	0.00	0.00	0.00	0.00	37.00	68.00	41.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	93.00	0.00	0.00	0.00
thiD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
thiE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
thiM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
thrB	0.00	0.00	54.00	0.00	0.00	0.00	20.00	0.00	70.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00
thrC	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	0.00	0.00	0.00
thyA	0.00	0.00	0.00	0.00	0.00	38.00	14.00	0.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00
tmk	0.00	0.00	0.00	0.00	0.00	0.00	27.00	0.00	38.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tnp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00
topA	0.00	0.00	12.00	0.00	0.00	100.00	92.00	59.00	7.00	0.00	0.00	0.00	22.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	200.00	0.00	0.00	0.00
topB	0.00	0.00	0.00	0.00	0.00	38.00	14.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00
treC	0.00	0.00	0.00	0.00	0.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
treP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
treR	0.00	0.00	0.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
trmD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	44.00	0.00	0.00	0.00
trmE	0.00	0.00	49.00	0.00	0.00	14.00	0.00	24.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	0.00	0.00	0.00
trpA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
trpB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
trpS	0.00	0.00	68.00	0.00	0.00	21.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00
truA	0.00	0.00	0.00	0.00	0.00	22.00	1.00	0.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
truB	0.00	0.00	0.00	0.00	0.00	0.00	149.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	0.00	0.00	0.00
tsf	0.00	0.00	30.00	0.00	0.00	299.00	315.00	202.00	194.00	0.00	0.00	0.00	89.00	0.00	0.00	0.00	0.00	0.00	0.00	46.00	339.00	0.00	40.00	0.00
ubiE	0.00	0.00	0.00	0.00	0.00	85.00	10.00	89.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	71.00	0.00	0.00	0.00
uhpT	0.00	0.00	52.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.00	0.00	0.00
upp	0.00	0.00	0.00	0.00	0.00	0.00	115.00	75.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00	0.00	0.00	0.00
uppS	0.00	0.00	0.00	0.00	0.00	96.00	64.00	0.00	0.00	0.00	0.00	0.00	29.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	112.00	0.00
ureA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ureB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ureC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00
ureD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.00	0.00	0.00	0.00
ureE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ureF	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.00	0.00	0.00
ureG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	67.00	0.00	0.00	0.00
xerC	0.00	0.00	0.00	57.00	0.00	0.00	53.00	46.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	106.00	0.00	0.00	0.00
xerD	0.00	0.00	0.00	0.00	0.00	101.00	73.00	0.00	152.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	104.00	0.00	0.00	0.00
xseA	0.00	0.00	0.00	0.00	0.00	165.00	74.00	18.00	91.00	0.00	0.00	0.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	67.00	0.00	61.00	0.00
xseB	0.00	0.00	0.00	0.00	0.00	147.00	48.00	101.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	45.00	0.00	0.00	0.00
zwf	0.00	0.00	0.00	0.00	0.00	122.00	99.00	27.00	57.00	0.00	0.00	0.00	0.00	93.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00
